Date,Open,High,Low,Close,Adj Close,Volume,,,,
1/1/2016,25.6525,26.4625,23.0975,24.334999,22.278238,5087392000,,,,
2/1/2016,24.1175,24.7225,23.147499,24.172501,22.129484,3243450400,,,,
3/1/2016,24.4125,27.605,24.355,27.247499,25.079945,2984198400,,,,
4/1/2016,27.195,28.0975,23.127501,23.434999,21.570734,3489534800,,,,
5/1/2016,23.4925,25.182501,22.3675,24.965,22.979019,3602686000,,,,
6/1/2016,24.754999,25.4725,22.875,23.9,22.132679,3117990800,,,,
7/1/2016,23.872499,26.137501,23.592501,26.0525,24.126011,2743118400,,,,
8/1/2016,26.102501,27.557501,26,26.525,24.563566,2520514000,,,,
9/1/2016,26.535,29.045,25.6325,28.262501,26.314371,3872062400,,,,
10/1/2016,28.1775,29.672501,28.07,28.385,26.428425,2747657200,,,,
11/1/2016,28.365,28.442499,26.02,27.629999,25.725466,2886220000,,,,
12/1/2016,27.592501,29.504999,27.0625,28.955,27.097542,2435086800,,,,
1/1/2017,28.950001,30.610001,28.690001,30.3375,28.391359,2252488000,,,,
2/1/2017,31.7575,34.369999,31.752501,34.247501,32.050529,2299874400,,,,
3/1/2017,34.4725,36.125,34.262501,35.915001,33.756783,2246513600,,,,
4/1/2017,35.927502,36.365002,35.014999,35.912498,33.754429,1493216400,,,,
5/1/2017,36.275002,39.162498,36.067501,38.189999,35.895077,2615927200,,,,
6/1/2017,38.2925,38.994999,35.549999,36.005001,33.981064,2736712400,,,,
7/1/2017,36.220001,38.497501,35.602501,37.182499,35.092369,1688047600,,,,
8/1/2017,37.275002,41.130001,37.102501,41,38.695286,2644276000,,,,
9/1/2017,41.200001,41.235001,37.290001,38.529999,36.506935,2721496400,,,,
10/1/2017,38.564999,42.412498,38.115002,42.259998,40.04108,2017165200,,,,
11/1/2017,42.467499,44.060001,41.32,42.962502,40.706692,2402653600,,,,
12/1/2017,42.487499,44.299999,41.615002,42.307499,40.230194,2124735200,,,,
1/1/2018,42.540001,45.025002,41.174999,41.857498,39.802284,2638717600,,,,
2/1/2018,41.7925,45.154999,37.560001,44.529999,42.343567,3711577200,,,,
3/1/2018,44.634998,45.875,41.235001,41.945,40.048103,2854910800,,,,
4/1/2018,41.66,44.735001,40.157501,41.314999,39.446587,2664617200,,,,
5/1/2018,41.602501,47.592499,41.317501,46.717499,44.604774,2483905200,,,,
6/1/2018,46.997501,48.549999,45.182499,46.2775,44.355061,2110498000,,,,
7/1/2018,45.955002,48.990002,45.855,47.572498,45.596264,1574765600,,,,
8/1/2018,49.782501,57.217499,49.327499,56.907501,54.543468,2801275600,,,,
9/1/2018,57.102501,57.4175,53.825001,56.435001,54.280308,2715888000,,,,
10/1/2018,56.987499,58.3675,51.522499,54.715,52.625961,3158994000,,,,
11/1/2018,54.762501,55.59,42.564999,44.645,42.940445,3845305600,,,,
12/1/2018,46.115002,46.235001,36.647499,39.435001,38.061703,3595690000,,,,
1/1/2019,38.7225,42.25,35.5,41.610001,40.160961,3312349600,,,,
2/1/2019,41.740002,43.967499,41.482498,43.287498,41.780045,1890162400,,,,
3/1/2019,43.57,49.422501,42.375,47.487499,46.030354,2603925600,,,,
4/1/2019,47.91,52.119999,47.095001,50.1675,48.628124,2024470800,,,,
5/1/2019,52.470001,53.827499,43.747501,43.767502,42.424503,2957826400,,,,
6/1/2019,43.900002,50.392502,42.567501,49.48,48.146416,2060874800,,,,
7/1/2019,50.7925,55.342499,49.602501,53.259998,51.824535,1895406800,,,,
8/1/2019,53.474998,54.5075,48.145,52.185001,50.778515,2724326400,,,,
9/1/2019,51.607498,56.605,51.055,55.9925,54.690395,2170268400,,,,
10/1/2019,56.267502,62.4375,53.782501,62.189999,60.743782,2433210800,,,,
11/1/2019,62.384998,67,62.290001,66.8125,65.258774,1793326000,,,,
12/1/2019,66.817497,73.4925,64.072502,73.412498,71.92057,2388794800,,,,
1/1/2020,74.059998,81.962502,73.1875,77.377502,75.805,2934370400,,,,
2/1/2020,76.074997,81.805,64.092499,68.339996,66.951172,3019279200,,,,
3/1/2020,70.57,76,53.1525,63.572498,62.428356,6280072400,,,,
4/1/2020,61.625,73.6325,59.224998,73.449997,72.128075,3265299200,,,,
5/1/2020,71.5625,81.059998,71.462502,79.485001,78.054466,2805936000,,,,
6/1/2020,79.4375,93.095001,79.302498,91.199997,89.801071,3243375600,,,,
7/1/2020,91.279999,106.415001,89.144997,106.260002,104.630058,3020283200,,,,
8/1/2020,108.199997,131,107.892502,129.039993,127.060654,4070061100,,,,
9/1/2020,132.759995,137.979996,103.099998,115.809998,114.239166,3885245100,,,,
10/1/2020,117.639999,125.389999,107.720001,108.860001,107.383446,2894666500,,,,
11/1/2020,109.110001,121.989998,107.32,119.050003,117.435226,2123077300,,,,
12/1/2020,121.010002,138.789993,120.010002,132.690002,131.116043,2322189600,,,,
1/1/2021,133.520004,145.089996,126.379997,131.960007,130.394684,2240262000,,,,
2/1/2021,133.75,137.880005,118.389999,121.260002,119.821617,1833855600,,,,
3/1/2021,123.75,128.720001,116.209999,122.150002,120.881432,2650418200,,,,
4/1/2021,123.660004,137.070007,122.489998,131.460007,130.094742,1889857500,,,,
5/1/2021,132.039993,134.070007,122.25,124.610001,123.31588,1711934900,,,,
6/1/2021,125.080002,137.410004,123.129997,136.960007,135.767838,1606590000,,,,
7/1/2021,136.600006,150,135.759995,145.860001,144.590378,1919035100,,,,
8/1/2021,146.360001,153.490005,144.5,151.830002,150.508408,1461542800,,,,
9/1/2021,152.830002,157.259995,141.270004,141.5,140.478485,1797835100,,,,
10/1/2021,141.899994,153.169998,138.270004,149.800003,148.718567,1565079200,,,,
11/1/2021,148.990005,165.699997,147.479996,165.300003,164.106674,1691029000,,,,
12/1/2021,167.479996,182.130005,157.800003,177.570007,176.54538,2444766700,,,,
1/1/2022,177.830002,182.940002,154.699997,174.779999,173.771469,2108446000,,,,
2/1/2022,174.009995,176.649994,152,165.119995,164.167221,1627516300,,,,
3/1/2022,164.699997,179.610001,150.100006,174.610001,173.823639,2180800100,,,,
4/1/2022,174.029999,178.490005,155.380005,157.649994,156.940002,1687795600,,,,
5/1/2022,156.710007,166.479996,132.610001,148.839996,148.169678,2401040300,,,,
6/1/2022,149.899994,151.740005,129.039993,136.720001,136.304245,1749099800,,,,
7/1/2022,136.039993,163.630005,135.660004,162.509995,162.015808,1447125400,,,,
8/1/2022,161.009995,176.149994,157.139999,157.220001,156.741913,1510239600,,,,
9/1/2022,156.639999,164.259995,138,138.199997,137.971115,2084722800,,,,
10/1/2022,138.210007,157.5,134.369995,153.339996,153.086044,1868139700,,,,
11/1/2022,155.080002,155.449997,134.380005,148.029999,147.784851,1724691200,,,,
